Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundEncoded,lap_time_mean_3,lap_time_delta,tyre_ratio,stint_progress,is_raining
GAS,10,Alpine,8.0,3.0,SOFT,5.0,0.0,84.958,17.371,36.594,30.993,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:45:02.370000,26.7,66.0,1014.5,0,31.8,262,1.2,0,94.46933333333334,-28.891999999999996,0.8333333333333334,0.5,0
GAS,10,Alpine,9.0,3.0,SOFT,6.0,0.0,105.027,21.344,42.593,41.09,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:46:02.369000,26.7,66.0,1014.5,0,31.9,258,1.7,0,101.27833333333332,20.069000000000003,1.0,1.0,0
GAS,10,Alpine,11.0,4.0,SOFT,2.0,0.0,84.078,17.202,36.091,30.785,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:53:02.377000,26.7,67.0,1014.5,0,31.3,259,1.1,0,91.35433333333333,-20.948999999999998,0.3333333333333333,0.5,0
GAS,10,Alpine,12.0,4.0,SOFT,3.0,0.0,113.588,22.247,47.041,44.3,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,100.89766666666667,29.50999999999999,0.5,1.0,0
GAS,10,Alpine,14.0,5.0,SOFT,5.0,0.0,84.548,17.345,36.378,30.825,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:07:02.425000,26.4,68.0,1014.7,0,30.8,259,1.2,0,94.07133333333333,-29.039999999999992,0.8333333333333334,0.5,0
GAS,10,Alpine,15.0,5.0,SOFT,6.0,0.0,105.004,20.235,42.356,42.413,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:08:02.455000,26.4,68.0,1014.7,0,30.8,259,1.2,0,101.04666666666667,20.456000000000003,1.0,1.0,0
GAS,10,Alpine,17.0,6.0,SOFT,2.0,0.0,84.533,17.247,36.455,30.831,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,91.36166666666668,-20.471000000000004,0.3333333333333333,1.0,0
PER,11,Red Bull Racing,2.0,1.0,SOFT,2.0,0.0,84.74,17.235,36.468,31.037,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:22:02.222000,26.9,66.0,1014.2,0,32.5,270,2.0,0,0.0,0.0,0.3333333333333333,0.5,0
PER,11,Red Bull Racing,3.0,1.0,SOFT,3.0,0.0,108.342,20.784,45.781,41.777,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:23:02.237000,26.9,66.0,1014.2,0,32.5,265,2.2,0,0.0,23.602000000000004,0.5,1.0,0
PER,11,Red Bull Racing,5.0,2.0,SOFT,2.0,0.0,84.209,17.17,36.261,30.778,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,92.43033333333334,-24.132999999999996,0.3333333333333333,0.5,0
PER,11,Red Bull Racing,6.0,2.0,SOFT,3.0,0.0,112.379,22.214,45.001,45.164,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:34:02.350000,26.8,65.0,1014.5,0,32.1,260,2.2,0,101.64333333333333,28.17,0.5,1.0,0
PER,11,Red Bull Racing,8.0,3.0,SOFT,5.0,0.0,84.116,17.258,36.21,30.648,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:46:02.369000,26.7,66.0,1014.5,0,31.9,258,1.7,0,93.568,-28.263000000000005,0.8333333333333334,0.5,0
PER,11,Red Bull Racing,9.0,3.0,SOFT,6.0,0.0,104.664,20.367,42.973,41.324,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:47:02.368000,26.7,66.0,1014.5,0,31.9,259,1.8,0,100.38633333333333,20.548000000000002,1.0,1.0,0
PER,11,Red Bull Racing,11.0,4.0,SOFT,2.0,0.0,108.88,17.213,38.683,52.984,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,99.21999999999998,4.215999999999994,0.3333333333333333,1.0,0
PER,11,Red Bull Racing,13.0,5.0,SOFT,4.0,0.0,84.171,17.309,36.259,30.603,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:06:02.410000,26.4,68.0,1014.7,0,30.8,288,1.2,0,99.23833333333334,-24.70899999999999,0.6666666666666666,0.5,0
PER,11,Red Bull Racing,14.0,5.0,SOFT,5.0,0.0,103.144,20.359,42.676,40.109,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:08:02.455000,26.4,68.0,1014.7,0,30.8,259,1.2,0,98.73166666666668,18.973,0.8333333333333334,1.0,0
PER,11,Red Bull Racing,16.0,6.0,SOFT,2.0,0.0,83.868,17.144,36.206,30.518,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,90.39433333333334,-19.27600000000001,0.3333333333333333,0.5,0
PER,11,Red Bull Racing,17.0,6.0,SOFT,3.0,0.0,118.504,23.939,51.779,42.786,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:16:02.493000,26.3,68.0,1014.9,0,30.9,257,1.2,0,101.83866666666667,34.63600000000001,0.5,1.0,0
ALO,14,Aston Martin,2.0,1.0,SOFT,2.0,0.0,85.207,17.411,36.844,30.952,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:23:02.237000,26.9,66.0,1014.2,0,32.5,265,2.2,0,0.0,0.0,0.3333333333333333,0.5,0
ALO,14,Aston Martin,3.0,1.0,SOFT,3.0,0.0,111.394,24.118,45.427,41.849,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:24:02.236000,26.9,66.0,1014.2,0,32.5,252,1.7,0,0.0,26.187000000000012,0.5,1.0,0
ALO,14,Aston Martin,5.0,2.0,SOFT,2.0,0.0,84.501,17.257,36.505,30.739,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:32:02.337000,26.8,65.0,1014.4,0,32.2,277,1.8,0,93.70066666666666,-26.893,0.3333333333333333,0.5,0
ALO,14,Aston Martin,6.0,2.0,SOFT,3.0,0.0,118.481,25.569,48.204,44.708,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,104.79199999999999,33.97999999999999,0.5,1.0,0
ALO,14,Aston Martin,8.0,3.0,SOFT,5.0,0.0,84.698,17.351,36.52,30.827,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:45:02.370000,26.7,66.0,1014.5,0,31.8,262,1.2,0,95.89333333333333,-33.783,0.8333333333333334,0.5,0
ALO,14,Aston Martin,9.0,3.0,SOFT,6.0,0.0,106.092,21.08,44.051,40.961,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:47:02.368000,26.7,66.0,1014.5,0,31.9,259,1.8,0,103.09033333333332,21.394000000000005,1.0,1.0,0
ALO,14,Aston Martin,11.0,4.0,SOFT,2.0,0.0,84.131,17.213,36.31,30.608,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:54:02.376000,26.7,67.0,1014.5,0,31.3,268,1.6,0,91.64033333333333,-21.961,0.3333333333333333,0.5,0
ALO,14,Aston Martin,12.0,4.0,SOFT,3.0,0.0,114.399,23.614,46.746,44.039,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,101.54066666666667,30.268,0.5,1.0,0
ALO,14,Aston Martin,14.0,5.0,SOFT,5.0,0.0,84.438,17.194,36.458,30.786,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:06:02.410000,26.4,68.0,1014.7,0,30.8,288,1.2,0,94.32266666666668,-29.961,0.8333333333333334,0.5,0
ALO,14,Aston Martin,15.0,5.0,SOFT,6.0,0.0,102.291,19.716,42.505,40.07,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:07:02.425000,26.4,68.0,1014.7,0,30.8,259,1.2,0,100.37599999999999,17.852999999999994,1.0,1.0,0
ALO,14,Aston Martin,17.0,6.0,SOFT,2.0,0.0,84.084,17.157,36.381,30.546,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:14:02.480000,26.3,68.0,1014.9,0,30.9,259,1.2,0,90.271,-18.206999999999994,0.3333333333333333,0.5,0
ALO,14,Aston Martin,18.0,6.0,SOFT,3.0,0.0,116.323,20.991,48.356,46.976,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,100.89933333333333,32.23899999999999,0.5,1.0,0
LEC,16,Ferrari,2.0,1.0,SOFT,2.0,0.0,84.556,17.381,36.213,30.962,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:22:02.222000,26.9,66.0,1014.2,0,32.5,270,2.0,0,0.0,0.0,0.3333333333333333,0.5,0
LEC,16,Ferrari,3.0,1.0,SOFT,3.0,0.0,111.302,23.869,45.407,42.026,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:24:02.236000,26.9,66.0,1014.2,0,32.5,252,1.7,0,0.0,26.74600000000001,0.5,1.0,0
LEC,16,Ferrari,5.0,2.0,SOFT,2.0,0.0,84.459,17.324,36.208,30.927,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:32:02.337000,26.8,65.0,1014.4,0,32.2,277,1.8,0,93.43900000000001,-26.843000000000004,0.3333333333333333,0.5,0
LEC,16,Ferrari,6.0,2.0,SOFT,3.0,0.0,111.685,22.953,46.064,42.668,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,102.48200000000001,27.226,0.5,1.0,0
LEC,16,Ferrari,8.0,3.0,SOFT,5.0,0.0,84.555,17.407,36.315,30.833,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:45:02.370000,26.7,66.0,1014.5,0,31.8,262,1.2,0,93.56633333333333,-27.129999999999995,0.8333333333333334,0.5,0
LEC,16,Ferrari,9.0,3.0,SOFT,6.0,0.0,101.258,19.448,42.613,39.197,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:47:02.368000,26.7,66.0,1014.5,0,31.9,259,1.8,0,99.166,16.70299999999999,1.0,1.0,0
LEC,16,Ferrari,11.0,4.0,SOFT,2.0,0.0,83.969,17.188,36.14,30.641,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:53:02.377000,26.7,67.0,1014.5,0,31.3,259,1.1,0,89.92733333333332,-17.289,0.3333333333333333,0.5,0
LEC,16,Ferrari,12.0,4.0,SOFT,3.0,0.0,107.692,21.322,43.518,42.852,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,97.63966666666666,23.723,0.5,1.0,0
LEC,16,Ferrari,14.0,5.0,SOFT,5.0,0.0,84.496,17.324,36.356,30.816,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:07:02.425000,26.4,68.0,1014.7,0,30.8,259,1.2,0,92.05233333333332,-23.195999999999998,0.8333333333333334,0.5,0
LEC,16,Ferrari,15.0,5.0,SOFT,6.0,0.0,105.021,20.872,44.723,39.426,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:08:02.455000,26.4,68.0,1014.7,0,30.8,259,1.2,0,99.06966666666666,20.525000000000006,1.0,1.0,0
LEC,16,Ferrari,17.0,6.0,SOFT,2.0,0.0,83.584,17.213,35.986,30.385,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:14:02.480000,26.3,68.0,1014.9,0,30.9,259,1.2,0,91.03366666666666,-21.436999999999998,0.3333333333333333,0.5,0
LEC,16,Ferrari,18.0,6.0,SOFT,3.0,0.0,111.506,20.472,47.182,43.852,1,2023,Abu Dhabi Grand Prix,Q,0 days 01:15:02.479000,26.3,68.0,1014.9,0,30.7,284,0.8,0,100.03699999999999,27.921999999999997,0.5,1.0,0
STR,18,Aston Martin,2.0,1.0,SOFT,2.0,0.0,85.201,17.461,36.765,30.975,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:23:02.237000,26.9,66.0,1014.2,0,32.5,265,2.2,0,0.0,0.0,0.3333333333333333,0.5,0
STR,18,Aston Martin,3.0,1.0,SOFT,3.0,0.0,109.729,20.556,45.041,44.132,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:24:02.236000,26.9,66.0,1014.2,0,32.5,252,1.7,0,0.0,24.528000000000006,0.5,1.0,0
STR,18,Aston Martin,5.0,2.0,SOFT,2.0,0.0,84.405,17.182,36.277,30.946,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:31:02.322000,26.8,66.0,1014.5,0,32.3,307,1.7,0,93.11166666666666,-25.323999999999998,0.3333333333333333,0.5,0
STR,18,Aston Martin,6.0,2.0,SOFT,3.0,0.0,110.295,22.727,44.504,43.064,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:33:02.320000,26.8,65.0,1014.4,0,32.2,266,2.0,0,101.47633333333333,25.89,0.5,1.0,0
STR,18,Aston Martin,8.0,3.0,SOFT,5.0,0.0,84.817,17.363,36.506,30.948,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:44:02.371000,26.8,66.0,1014.5,0,31.8,286,0.8,0,93.17233333333333,-25.47800000000001,0.8333333333333334,0.5,0
STR,18,Aston Martin,9.0,3.0,SOFT,6.0,0.0,112.361,23.094,42.055,47.212,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:46:02.369000,26.7,66.0,1014.5,0,31.9,258,1.7,0,102.49099999999999,27.54400000000001,1.0,1.0,0
STR,18,Aston Martin,11.0,4.0,SOFT,2.0,0.0,84.422,17.235,36.378,30.809,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:54:02.376000,26.7,67.0,1014.5,0,31.3,268,1.6,0,93.86666666666667,-27.939000000000007,0.3333333333333333,0.5,0
STR,18,Aston Martin,12.0,4.0,SOFT,3.0,0.0,111.778,19.854,46.24,45.684,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:55:02.375000,26.6,67.0,1014.7,0,31.3,261,1.5,0,102.85366666666665,27.35600000000001,0.5,1.0,0
MAG,20,Haas F1 Team,2.0,1.0,SOFT,2.0,0.0,85.653,17.326,36.941,31.386,1,2023,Abu Dhabi Grand Prix,Q,0 days 00:22:02.222000,26.9,66.0,1014.2,0,32.5,270,2.0,0,0.0,0.0,0.6666666666666666,0.5,0
