Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_mean_3,lap_time_delta,speed_delta,throttle_delta,brake_delta,degradation_score,aggression_score,consistency_score,efficiency_score,drs_usage_intensity,tyre_ratio,stint_progress,session_baseline,LapTimeResidual
SAR,2,Williams,2.0,1.0,SOFT,2.0,0.0,1,84.722,17.243,36.216,31.263,2023,Abu Dhabi Grand Prix,Q,223.27743902439025,332.0,70.5406762965992,73.57317073170732,39.82700526433668,0.1402439024390244,10465.003048780489,5.8567073170731705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.25498215348007,0.0,0.021333592010601105,332.0,0.6666666666666666,0.5,95.479,-10.757000000000005
SAR,2,Williams,3.0,1.0,SOFT,3.0,0.0,1,114.335,28.024,43.757,42.554,2023,Abu Dhabi Grand Prix,Q,160.52380952380952,299.0,69.46420863578317,43.035714285714285,38.36784852196652,0.2285714285714285,8837.783333333333,4.45952380952381,1.0,0.0,0.0,29.613,-62.75362950058073,-30.537456445993037,0.0883275261324041,92.59520092915216,33.19897959183673,0.0,0.018161301558149164,299.0,1.0,1.0,95.479,18.855999999999995
SAR,2,Williams,5.0,2.0,SOFT,2.0,0.0,1,84.532,17.177,36.185,31.17,2023,Abu Dhabi Grand Prix,Q,221.89506172839504,330.0,71.39187698454904,72.33641975308642,40.29490093066511,0.1666666666666666,10439.253086419752,5.790123456790123,1.0,0.0,94.52966666666667,-29.802999999999997,61.37125220458552,29.300705467372133,-0.06190476190476191,-91.00758553791884,60.28034979423868,0.0,0.021253801022987354,330.0,0.6666666666666666,0.5,95.479,-10.947000000000003
SAR,2,Williams,6.0,2.0,SOFT,3.0,0.0,1,106.738,20.792,41.837,44.109,2023,Abu Dhabi Grand Prix,Q,171.42211055276383,308.0,70.3095904008504,46.00753768844221,38.498420831460194,0.1683417085427135,8868.505025125629,4.934673366834171,1.0,0.0,101.86833333333334,22.206000000000003,-50.47295117563121,-26.328882064644205,0.00167504187604689,72.84729288417392,38.26255018812657,0.0,0.019327133821691,308.0,1.0,1.0,95.479,11.259
RIC,3,AlphaTauri,2.0,1.0,SOFT,2.0,0.0,1,84.84,17.492,36.521,30.827,2023,Abu Dhabi Grand Prix,Q,223.17073170731703,326.0,67.96280775988215,73.85060975609755,40.01657454304617,0.1463414634146341,10580.463414634149,5.469512195121951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04320345032719,0.0,0.021090724691130363,326.0,0.3333333333333333,0.5,95.479,-10.638999999999996
RIC,3,AlphaTauri,3.0,1.0,SOFT,3.0,0.0,1,113.775,21.935,52.373,39.467,2023,Abu Dhabi Grand Prix,Q,165.5072463768116,295.0,55.94929125480446,45.891304347826086,35.60423121111803,0.1256038647342995,9626.461352657005,4.009661835748792,1.0,0.0,0.0,28.935000000000002,-57.66348533050544,-27.95930540827147,-0.020737598680334618,86.72408919523974,40.127179164041166,0.0,0.017191161856093515,295.0,0.5,1.0,95.479,18.296000000000006
RIC,3,AlphaTauri,5.0,2.0,SOFT,2.0,0.0,1,84.461,17.318,36.453,30.69,2023,Abu Dhabi Grand Prix,Q,222.36190476190475,326.0,68.36784040362741,74.17777777777778,39.82957501658053,0.1365079365079365,10590.063492063491,5.457142857142857,1.0,0.0,94.35866666666668,-29.314000000000007,56.85465838509316,28.28647342995169,0.010904071773637003,-86.03215044858523,64.05192239858907,0.0,0.02099523857340046,326.0,0.3333333333333333,0.5,95.479,-11.018
RIC,3,AlphaTauri,6.0,2.0,SOFT,3.0,0.0,1,115.196,24.474,46.823,43.899,2023,Abu Dhabi Grand Prix,Q,161.84703196347033,288.0,58.92742212355061,37.598173515981735,34.62870327456447,0.0684931506849315,9123.168949771689,4.171232876712328,1.0,0.0,104.47733333333333,30.735,-60.514872798434425,-36.57960426179604,-0.06801478582300499,91.31836594911935,35.022956151873395,0.0,0.01773827653284743,288.0,0.5,1.0,95.479,19.717
RIC,3,AlphaTauri,8.0,3.0,SOFT,5.0,0.0,1,84.929,17.497,36.43,31.002,2023,Abu Dhabi Grand Prix,Q,221.96238244514103,325.0,67.0561941334624,73.5141065830721,39.85246717583722,0.1473354231974921,10540.17868338558,5.460815047021944,1.0,0.0,94.86200000000001,-30.266999999999996,60.1153504816707,35.91593306709037,0.0788422725125606,-90.23501505847321,62.68287457866963,16.299148158722897,0.021056694807288088,325.0,0.8333333333333334,0.5,95.479,-10.549999999999997
RIC,3,AlphaTauri,9.0,3.0,SOFT,6.0,0.0,1,103.149,20.301,41.158,41.69,2023,Abu Dhabi Grand Prix,Q,182.5276381909548,296.0,64.94634863840079,47.27638190954774,39.32989063300207,0.0829145728643216,9723.733668341709,4.547738693467337,1.0,0.0,101.09133333333334,18.22,-39.43474425418623,-26.23772467352437,-0.06442085033317049,57.737658827050545,43.35648089694705,14.98936943303487,0.01876942283624308,296.0,1.0,1.0,95.479,7.670000000000002
RIC,3,AlphaTauri,11.0,4.0,SOFT,2.0,0.0,1,84.442,17.305,36.399,30.738,2023,Abu Dhabi Grand Prix,Q,223.40243902439025,326.0,67.79964362730938,74.4420731707317,39.84100278259143,0.1402439024390244,10601.740853658535,5.512195121951219,1.0,0.0,90.83999999999999,-18.707000000000008,40.874800833435444,27.165691261183966,0.0573293295747028,-59.44155693099643,64.00202632361689,14.112562463989308,0.021070253636096745,326.0,0.3333333333333333,0.5,95.479,-11.037000000000006
RIC,3,AlphaTauri,12.0,4.0,SOFT,3.0,0.0,1,114.641,21.544,47.982,45.115,2023,Abu Dhabi Grand Prix,Q,163.08924485125857,290.0,58.44262299235557,39.85812356979405,37.68164580290898,0.0663615560640732,9150.775743707094,4.176201372997712,1.0,0.0,100.74399999999999,30.199000000000012,-60.31319417313168,-34.58394960093765,-0.07388234637495121,90.57855572919576,37.21307646790841,15.192669393493698,0.017820502754714168,290.0,0.5,1.0,95.479,19.162000000000006
NOR,4,McLaren,2.0,1.0,SOFT,2.0,0.0,1,84.368,17.183,36.546,30.639,2023,Abu Dhabi Grand Prix,Q,221.38924050632912,323.0,69.11474524911388,71.10759493670886,40.75643261224752,0.1582278481012658,10353.04746835443,5.680379746835443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.85639320621696,0.0,0.021381903181627436,323.0,0.4,0.5,95.479,-11.111000000000004
NOR,4,McLaren,3.0,1.0,SOFT,3.0,0.0,1,105.7,20.964,44.22,40.516,2023,Abu Dhabi Grand Prix,Q,176.05958549222797,278.0,59.36428655571712,37.33160621761658,36.86956843216913,0.1580310880829015,9842.352331606218,4.295336787564767,1.0,0.0,0.0,21.332000000000008,-45.32965501410115,-33.77598871909228,-0.00019676001836430035,66.81968610218406,31.432051867164223,0.0,0.017886140774105455,278.0,0.6,1.0,95.479,10.221000000000004
NOR,4,McLaren,5.0,2.0,SOFT,2.0,0.0,1,106.467,20.881,44.311,41.275,2023,Abu Dhabi Grand Prix,Q,176.23880597014926,275.0,58.61717115897409,35.840796019900495,33.09382908571171,0.1492537313432835,9958.017412935324,4.266169154228856,1.0,0.0,98.84499999999998,0.7669999999999959,0.17922047792129092,-1.4908101977160868,-0.008777356739617992,0.7370332534219886,30.491423479616838,0.0,0.017696405043055807,275.0,0.4,1.0,95.479,10.988
NOR,4,McLaren,7.0,3.0,SOFT,4.0,0.0,1,83.92,17.128,36.314,30.478,2023,Abu Dhabi Grand Prix,Q,223.29721362229105,325.0,68.08780108659892,72.14860681114551,40.05767840233223,0.1547987616099071,10386.91640866873,5.746130030959752,1.0,0.0,98.69566666666667,-22.546999999999997,47.058407652141796,36.30781079124502,0.005545030266623591,-69.45060889053188,60.98009182490008,0.0,0.021495861618211445,325.0,0.8,0.5,95.479,-11.558999999999997
NOR,4,McLaren,8.0,3.0,SOFT,5.0,0.0,1,103.757,19.564,43.849,40.344,2023,Abu Dhabi Grand Prix,Q,180.4910941475827,272.0,58.15628615603865,38.52671755725191,35.94106462234918,0.1348600508905852,9912.76844783715,4.463104325699746,1.0,0.0,98.048,19.837000000000003,-42.80611947470837,-33.621889253893606,-0.019938710719321906,62.77797952559896,33.331002466833716,11.635084584995507,0.018206103470871336,272.0,1.0,1.0,95.479,8.278000000000006
NOR,4,McLaren,10.0,4.0,SOFT,2.0,0.0,1,109.828,20.142,46.207,43.479,2023,Abu Dhabi Grand Prix,Q,170.61904761904762,270.0,59.484039447329685,32.911904761904765,31.1195148036376,0.1428571428571428,9879.471428571427,4.085714285714285,1.0,0.0,99.16833333333334,6.070999999999998,-9.872046528535066,-5.614812795347142,0.007997091966557596,16.085903671392206,28.210204081632657,10.306231187975559,0.01726831040932595,270.0,0.4,1.0,95.479,14.349000000000004
NOR,4,McLaren,12.0,5.0,SOFT,4.0,0.0,1,83.816,17.148,36.256,30.412,2023,Abu Dhabi Grand Prix,Q,222.75079872204472,325.0,69.14066306757623,71.91693290734824,40.27158762763111,0.1373801916932907,10358.658146964855,5.747603833865814,1.0,0.0,99.13366666666667,-26.012,52.1317511029971,39.005028145443475,-0.005476951163852106,-78.0063709113038,62.036970878543215,12.680579533286325,0.021501751849534307,325.0,0.8,0.5,95.479,-11.662999999999997
NOR,4,McLaren,13.0,5.0,SOFT,5.0,0.0,1,101.38,19.659,43.615,38.106,2023,Abu Dhabi Grand Prix,Q,182.9512195121951,279.0,59.29965177768248,42.50948509485095,38.93494493334251,0.1517615176151761,9953.61517615176,4.509485094850948,1.0,0.0,98.34133333333334,17.563999999999993,-39.79957920984961,-29.40744781249729,0.014381325921885402,57.51534072746478,36.05818112381667,11.971280307469206,0.018378532597672963,279.0,1.0,1.0,95.479,5.900999999999996
NOR,4,McLaren,15.0,6.0,SOFT,2.0,0.0,1,83.952,17.076,36.087,30.789,2023,Abu Dhabi Grand Prix,Q,224.63398692810455,324.0,70.2803987443074,74.41830065359477,39.01796381224388,0.1339869281045751,10390.254901960783,5.784313725490196,1.0,0.0,89.71600000000001,-17.427999999999997,41.68276741590944,31.908815558743818,-0.017774589510600985,-58.97678048780486,64.44722115425691,11.962852243507818,0.021617599514926453,324.0,0.4,0.5,95.479,-11.527000000000001
