Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,CompoundEncoded,lap_time_prev,lap_time_mean_3_prev,lap_time_delta_prev,lap_time_std_5_prev,speed_mean_prev,speed_mean_delta_prev,speed_max_prev,speed_max_delta_prev,speed_std_prev,speed_std_delta_prev,throttle_mean_prev,throttle_mean_delta_prev,throttle_std_prev,throttle_std_delta_prev,brake_ratio_prev,brake_ratio_delta_prev,rpm_mean_prev,rpm_mean_delta_prev,gear_mean_prev,gear_mean_delta_prev,drs_ratio_prev,drs_ratio_delta_prev,degradation_score_prev,aggression_score_prev,efficiency_score_prev,drs_usage_intensity_prev,consistency_score_prev,tyre_ratio,stint_progress,LapNumber_pct,tyre_x_progress,compound_x_tyre,session_baseline,LapTimeResidual
STR,18,Aston Martin,21.0,5.0,SOFT,1.0,,1,89.973,35.004,18.417,36.552,2023,Australian Grand Prix,Q,211.57309941520467,308.0,68.7180834476013,70.21637426900585,37.81689130208801,0.131578947368421,10182.27192982456,5.649122807017544,1.0,0.0,77.67,86.65233333333333,-12.582999999999998,13.886594604149712,243.66785714285717,32.344074907900165,321.0,14.0,63.00287615652047,-3.530893952830297,81.32857142857142,13.325706099058522,33.753681409656004,-5.871175714516973,0.1357142857142857,-0.033340155546459194,10736.425,609.513825214899,6.421428571428572,0.7853254195661075,1.0,0.0,-44.79136062218588,70.29112244897959,0.022693323319404532,321.0,13.886594604149712,0.125,0.2,0.84,0.84,0.0,92.295,-2.3220000000000027
MAG,20,Haas F1 Team,6.0,2.0,SOFT,2.0,,1,92.315,29.158,19.929,43.228,2023,Australian Grand Prix,Q,206.27966101694915,309.0,76.03881731147843,68.31638418079096,42.28222206833651,0.2033898305084746,9940.9802259887,5.313559322033898,1.0,0.0,104.119,100.22466666666666,-13.043999999999997,18.076425188165203,185.20867208672087,23.151276943233,289.0,-23.0,69.0877854508566,10.653711946632583,60.10569105691057,16.816507833952514,42.63701947228935,-0.7977326563114602,0.2222222222222222,-0.013980868285503989,10020.0,623.2803532008838,4.569105691056911,0.35497765573682205,1.0,0.0,-35.973054721010776,46.74887082204156,0.018482054893395956,289.0,18.076425188165203,0.4,0.4,0.35294117647058826,0.7058823529411765,0.0,92.295,0.01999999999999602
MAG,20,Haas F1 Team,12.0,3.0,SOFT,2.0,,12,89.645,29.17,19.043,41.432,2023,Australian Grand Prix,Q,209.84660766961653,309.0,73.33823771566311,68.99410029498524,41.70479475934278,0.1887905604719764,10018.0,5.471976401179941,1.0,0.0,102.358,96.00233333333334,24.198999999999998,13.479882592218674,182.51406649616368,-58.18173769964051,293.0,-31.0,81.50167015174458,18.121764792190056,59.54987212276215,-17.373204800314767,43.5564701983236,6.168869866535786,0.1508951406649616,0.01103500080482181,9341.406649616369,-1341.1947489850318,4.746803069053708,-1.445504623253984,1.0,0.0,82.53163284030546,50.56408579221748,0.01953608672168625,293.0,13.479882592218674,0.4,0.6666666666666666,0.7058823529411765,1.411764705882353,0.0,92.295,-2.6500000000000057
MAG,20,Haas F1 Team,15.0,4.0,SOFT,1.0,,1,93.963,37.474,19.602,36.887,2023,Australian Grand Prix,Q,200.6027777777778,292.0,64.37953699234569,66.54166666666667,40.70285607959485,0.1722222222222222,10085.983333333334,5.155555555555556,1.0,0.0,78.64,90.21433333333334,-11.004999999999995,13.417221370313603,240.02693602693603,30.180328357319496,324.0,15.0,60.62455863622522,-12.713679079437895,77.41750841750842,8.42340812252317,37.02310404274921,-4.681690716593572,0.1447811447811448,-0.04400941569083161,10667.242424242424,649.242424242424,6.158249158249158,0.6862727570692169,1.0,0.0,-41.04054721253835,66.20891292271763,0.022499201506848105,324.0,13.417221370313603,0.2,0.3333333333333333,0.8823529411764706,0.8823529411764706,0.0,92.295,1.6679999999999922
MAG,20,Haas F1 Team,16.0,4.0,SOFT,2.0,,1,94.408,28.706,18.804,46.898,2023,Australian Grand Prix,Q,200.6383561643836,309.0,78.1655095065033,64.43835616438356,42.358875680767696,0.1589041095890411,9744.824657534247,5.243835616438356,1.0,0.0,93.963,87.416,15.322999999999993,10.336118638057519,200.6027777777778,-39.42415824915824,292.0,-32.0,64.37953699234569,3.754978356120475,66.54166666666667,-10.875841750841744,40.70285607959485,3.679752036845642,0.1722222222222222,0.027441077441077405,10085.983333333334,-581.2590909090904,5.155555555555556,-1.0026936026936024,1.0,0.0,54.91938047138046,55.08171296296297,0.019887291487323874,292.0,10.336118638057519,0.4,0.6666666666666666,0.9411764705882353,1.8823529411764706,0.0,92.295,2.1129999999999995
DEV,21,AlphaTauri,6.0,2.0,SOFT,2.0,,1,96.356,30.448,19.486,46.422,2023,Australian Grand Prix,Q,196.22287390029325,306.0,75.0540013743747,64.3108504398827,42.07776588558004,0.1759530791788856,10232.046920821114,4.607038123167156,1.0,0.0,102.307,93.38866666666667,22.313000000000002,13.97148769220134,184.4850948509485,-52.907188107250846,293.0,-29.0,64.13263616753987,1.8655698069156088,62.823848238482384,-17.086119607176784,41.2551561380745,5.037557533133281,0.2249322493224932,0.0834531496440366,10226.62059620596,-469.1575388422734,4.287262872628726,-1.696659956953268,1.0,0.0,75.44512035657334,48.692738743105586,0.018037929068212128,293.0,13.97148769220134,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.5454545454545454,0.0,92.295,4.060999999999993
DEV,21,AlphaTauri,14.0,3.0,SOFT,2.0,,1,87.559,30.07,19.674,37.815,2023,Australian Grand Prix,Q,214.91384615384612,304.0,60.80670618911084,75.79076923076923,38.30400537946602,0.1323076923076923,10879.686153846154,4.969230769230769,1.0,0.0,79.096,91.66333333333334,-38.348,19.192482382432978,239.7422680412371,78.80321612250123,319.0,1.0,62.08608234576528,-16.27592933216596,81.06529209621993,31.12398284114093,34.745863532035,-7.940949050046129,0.1718213058419244,0.0160650981669809,10782.591065292096,1490.7174761273109,6.0,2.0970654627539504,1.0,0.0,-116.9793948166593,67.13654774979038,0.0222321364552545,319.0,19.192482382432978,0.2857142857142857,0.2,0.6363636363636364,1.2727272727272727,0.0,92.295,-4.736000000000004
DEV,21,AlphaTauri,16.0,3.0,SOFT,4.0,,1,94.316,34.753,20.292,39.271,2023,Australian Grand Prix,Q,200.0857142857143,309.0,62.45230681311272,64.59428571428572,39.938146610050985,0.1371428571428571,10238.654285714283,4.865714285714286,1.0,0.0,79.487,82.04733333333333,-8.072000000000003,16.652848426020107,238.2200647249191,23.306218571072975,318.0,14.0,62.16314510292016,1.3564389138093205,78.79288025889967,3.002111028130443,37.45892747858653,-0.8450779008794882,0.1521035598705501,0.01979586756285781,10705.663430420713,-174.02272342544165,5.977346278317152,1.008115509086383,1.0,0.0,-31.226115011202427,66.80820267906704,0.02224970143808456,318.0,16.652848426020107,0.5714285714285714,0.6,0.7272727272727273,2.909090909090909,0.0,92.295,2.021000000000001
TSU,22,AlphaTauri,2.0,1.0,SOFT,2.0,,1,88.664,30.874,19.852,37.938,2023,Australian Grand Prix,Q,208.88990825688077,303.0,60.15929867329508,70.70030581039755,38.75028715387049,0.1192660550458715,10536.461773700306,4.957186544342508,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.2857142857142857,0.5,0.09523809523809523,0.19047619047619047,0.0,92.295,-3.6310000000000002
ALB,23,Williams,6.0,2.0,SOFT,2.0,,1,88.739,30.887,19.071,38.781,2023,Australian Grand Prix,Q,211.64723926380367,311.0,68.82183089499654,63.75153374233129,41.17067194508279,0.1595092024539877,10084.53680981595,5.641104294478527,1.0,0.0,78.944,82.701,-7.513999999999996,5.31320035383571,239.09150326797385,20.063201381181358,323.0,17.0,62.47537056767924,2.3527633129950374,77.15032679738562,7.94906893575039,37.61038768994459,-3.1028558593667057,0.1470588235294117,-0.013318534961154316,10646.52614379085,450.331175237392,6.300653594771242,0.3824146010605496,1.0,0.0,-27.43014255765194,65.80469050365244,0.022455122442446507,323.0,5.31320035383571,0.25,0.16666666666666666,0.23076923076923078,0.46153846153846156,0.0,92.295,-3.5559999999999974
