year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms,CompoundEncoded,lap_time_prev,lap_time_mean_3_prev,lap_time_delta_prev,lap_time_std_5_prev,speed_mean_prev,speed_mean_delta_prev,speed_max_prev,speed_max_delta_prev,speed_std_prev,speed_std_delta_prev,throttle_mean_prev,throttle_mean_delta_prev,throttle_std_prev,throttle_std_delta_prev,brake_ratio_prev,brake_ratio_delta_prev,rpm_mean_prev,rpm_mean_delta_prev,gear_mean_prev,gear_mean_delta_prev,drs_ratio_prev,drs_ratio_delta_prev,degradation_score_prev,aggression_score_prev,efficiency_score_prev,drs_usage_intensity_prev,consistency_score_prev,tyre_ratio,stint_progress,LapNumber_pct,tyre_x_progress,compound_x_tyre,regulation_era,is_neutralized,laps_since_neutralization,temp_delta,session_baseline,LapTimeResidual,avg_residual_last_3_races
2022,Abu Dhabi Grand Prix,Q,PER,11,Red Bull Racing,5,2.0,SOFT,5.0,,1,84.97,,,False,222.5617283950617,331.0,70.51925423638592,74.02777777777777,40.05347625053688,0.1388888888888889,10385.79938271605,5.598765432098766,0.2098765432098765,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,84.82,84.82,,,224.02153846153848,,329.0,,70.14246633848559,,73.39076923076924,,40.84551489906108,,0.1538461538461538,,10504.436923076924,,5.516923076923077,,0.2123076923076923,,0.1538461538461538,62.09988165680475,0.02132434282380376,69.84923076923077,,1.0,1.0,0.25,1.25,0.0,0,0,101,4.899999999999999,85.517,-0.546999999999997,
2022,Abu Dhabi Grand Prix,Q,ALO,14,Alpine,5,2.0,SOFT,2.0,,1,85.782,,,False,218.66871165644173,328.0,69.57418223315302,71.84662576687117,41.06626282516675,0.1625766871165644,10381.03680981595,5.300613496932515,0.205521472392638,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,85.916,85.916,,,218.2628398791541,,327.0,,69.94192684000396,,72.44108761329305,,40.36994085794675,,0.1510574018126888,,10307.706948640483,,5.377643504531722,,0.2114803625377643,,0.1510574018126888,61.49832513394365,0.02117266898424527,69.15407854984893,,0.4,1.0,0.25,0.5,0.0,0,0,101,4.899999999999999,85.517,0.26500000000000057,
2022,Abu Dhabi Grand Prix,Q,STR,18,Aston Martin,5,1.0,SOFT,5.0,,12,86.242,,,False,218.30153846153848,316.0,67.82367410595484,71.0,39.91317737784179,0.1538461538461538,10267.52923076923,5.8,0.2123076923076923,28.9,34.1,69.0,1014.5,0.0,1.8,1.0,0,0,0,,,,0.0,86.276,86.276,,,216.7546583850932,,316.0,,67.54197075243519,,71.4223602484472,,39.79012538182017,,0.1490683229813664,,10311.27950310559,,5.751552795031056,,0.2111801242236025,,0.1490683229813664,60.775548782840175,0.02101908296025302,66.73291925465838,,1.0,1.0,0.25,1.25,0.0,0,0,101,5.200000000000003,85.517,0.7250000000000085,
2022,Abu Dhabi Grand Prix,Q,MAG,20,Haas F1 Team,5,1.0,SOFT,5.0,,1,86.168,,,False,217.96319018404907,324.0,67.72999695129316,71.99079754601227,40.774463063677416,0.1687116564417178,10504.763803680982,5.601226993865031,0.2085889570552147,28.9,34.1,69.0,1014.7,0.0,2.2,324.0,0,0,0,,,,0.0,86.417,86.417,,,219.5308641975309,,324.0,,69.5713699379301,,74.48456790123457,,39.36606492417766,,0.1388888888888889,,10401.956790123457,,5.679012345679013,,0.2191358024691358,,0.1388888888888889,64.1394890260631,0.021102737291570122,71.0,,1.0,1.0,0.25,1.25,0.0,0,0,101,5.200000000000003,85.517,0.6510000000000105,
2022,Abu Dhabi Grand Prix,Q,TSU,22,AlphaTauri,5,2.0,SOFT,2.0,,1,85.853,,,False,219.38297872340425,325.0,68.69408468251432,72.19756838905775,41.32028963514966,0.1641337386018237,10514.598784194528,5.455927051671733,0.1975683890577507,28.9,34.1,69.0,1014.7,0.0,2.2,324.0,0,0,0,,,,0.0,86.135,86.135,,,219.46769230769232,,326.0,,68.5693059947116,,72.67076923076922,,40.32513584845786,,0.1384615384615384,,10446.415384615384,,5.48,,0.1846153846153846,,0.1384615384615384,62.60866272189349,0.021006888711525267,60.18461538461538,,0.4,1.0,0.25,0.5,0.0,0,0,101,5.200000000000003,85.517,0.3359999999999985,
2022,Abu Dhabi Grand Prix,Q,ZHO,24,Alfa Romeo,5,2.0,SOFT,2.0,,1,85.594,,,False,219.20766773162936,324.0,67.14330019838367,74.00319488817891,39.623184938010326,0.1501597444089457,10285.520766773165,5.747603833865814,0.1980830670926517,28.9,33.8,69.0,1014.7,0.0,1.2,17.0,0,0,0,,,,0.0,86.199,86.199,,,218.737003058104,,322.0,,67.67754161347432,,73.70642201834862,,39.11426616372696,,0.128440366972477,,10198.565749235477,,5.752293577981652,,0.2140672782874617,,0.128440366972477,64.23954212608366,0.021445717242863968,68.92966360856266,,0.4,1.0,0.25,0.5,0.0,0,0,101,4.899999999999999,85.517,0.07699999999999818,
2022,Abu Dhabi Grand Prix,Q,HAM,44,Mercedes,5,2.0,SOFT,5.0,,1,85.693,,,False,217.8184713375796,323.0,69.08550642251762,74.53184713375796,38.89118848306284,0.1464968152866242,10448.611464968151,5.726114649681529,0.2006369426751592,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,85.594,85.594,,,219.64723926380367,,321.0,,69.32959036405157,,74.67791411042944,,38.18397493035306,,0.1441717791411043,,10354.794478527609,,5.828220858895706,,0.2147239263803681,,0.1441717791411043,63.91146637058225,0.021210080957017333,68.92638036809817,,0.625,1.0,0.25,1.25,0.0,0,0,101,4.899999999999999,85.517,0.17600000000000193,
2022,Abu Dhabi Grand Prix,Q,MSC,47,Haas F1 Team,5,1.0,SOFT,5.0,,12,87.005,,,False,216.1969696969697,327.0,70.19616883027824,70.71515151515152,40.81283635915423,0.1727272727272727,10334.766666666666,5.606060606060606,0.206060606060606,28.9,34.1,69.0,1014.5,0.0,1.8,1.0,0,0,0,,,,0.0,86.265,86.265,,,217.203125,,325.0,,69.38425550392435,,72.965625,,39.67867101828677,,0.153125,,10379.971875,,5.625,,0.20625,,0.153125,61.79276367187501,0.020923197520945024,67.03125,,1.0,1.0,0.25,1.25,0.0,0,0,101,5.200000000000003,85.517,1.4879999999999995,
2022,Abu Dhabi Grand Prix,Q,RUS,63,Mercedes,5,2.0,SOFT,5.0,,1,85.556,,,False,219.74213836477983,324.0,67.73931418042103,73.9245283018868,39.79807822664176,0.1572327044025157,10336.295597484275,5.776729559748428,0.2138364779874214,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,85.545,85.545,,,218.3109756097561,,321.0,,68.77606885212106,,73.14939024390245,,40.12296389903123,,0.1646341463414634,,10335.975609756097,,5.743902439024391,,0.2134146341463414,,0.1646341463414634,61.106502825698996,0.021119424467221627,68.50609756097559,,0.625,1.0,0.25,1.25,0.0,0,0,101,4.899999999999999,85.517,0.03900000000000148,
2022,Abu Dhabi Grand Prix,Q,BOT,77,Alfa Romeo,5,2.0,SOFT,2.0,,1,85.892,,,False,217.89808917197453,324.0,68.867394429486,73.62420382165605,40.08974182411031,0.1656050955414012,10318.589171974523,5.681528662420382,0.2101910828025477,28.9,33.8,69.0,1014.7,0.0,1.5,305.0,0,0,0,,,,0.0,86.5,86.5,,,216.516717325228,,324.0,,70.82519183840797,,73.11854103343465,,39.86005920487508,,0.1580547112462006,,10251.69604863222,,5.671732522796352,,0.2188449848024316,,0.1580547112462006,61.56181114365167,0.021118027521562274,70.90577507598785,,1.0,1.0,0.25,0.5,0.0,0,0,101,4.899999999999999,85.517,0.375,
