gp,driver,team,grid_pos,quali_pos,gap_to_pole_ms,final_position,dnf
Barcelona Grand Prix,COL,Alpine,13,13,1512.0,10,0
Barcelona Grand Prix,BOR,Audi,12,12,1322.0,11,0
Barcelona Grand Prix,SAI,Williams,16,16,3148.0,12,0
Barcelona Grand Prix,OCO,Haas F1 Team,17,17,2394.0,13,0
Barcelona Grand Prix,PER,Cadillac,19,19,2866.0,14,0
Barcelona Grand Prix,LEC,Ferrari,10,10,602.0,15,0
Barcelona Grand Prix,ANT,Mercedes,3,3,319.0,16,0
Barcelona Grand Prix,BEA,Haas F1 Team,15,15,1710.0,17,0
Barcelona Grand Prix,ALB,Williams,18,18,2745.0,99,1
Barcelona Grand Prix,ALO,Aston Martin,22,22,4136.0,99,1
Barcelona Grand Prix,HUL,Audi,9,9,1978.0,99,1
Barcelona Grand Prix,BOT,Cadillac,20,20,3078.0,99,1
Barcelona Grand Prix,STR,Aston Martin,21,21,4079.0,99,1
Austrian Grand Prix,RUS,Mercedes,1,1,0.0,1,0
Austrian Grand Prix,VER,Red Bull Racing,5,5,362.0,2,0
Austrian Grand Prix,ANT,Mercedes,4,4,301.0,3,0
Austrian Grand Prix,PIA,McLaren,7,7,398.0,4,0
Austrian Grand Prix,HAM,Ferrari,3,3,295.0,5,0
Austrian Grand Prix,HAD,Red Bull Racing,8,8,519.0,6,0
Austrian Grand Prix,NOR,McLaren,6,6,389.0,7,0
Austrian Grand Prix,LEC,Ferrari,2,2,236.0,8,0
Austrian Grand Prix,LAW,Racing Bulls,9,9,842.0,9,0
Austrian Grand Prix,LIN,Racing Bulls,10,10,894.0,10,0
Austrian Grand Prix,BOR,Audi,12,12,1180.0,11,0
Austrian Grand Prix,HUL,Audi,14,14,1498.0,12,0
Austrian Grand Prix,GAS,Alpine,11,11,1110.0,13,0
Austrian Grand Prix,BEA,Haas F1 Team,13,13,1410.0,14,0
Austrian Grand Prix,COL,Alpine,16,16,2058.0,15,0
Austrian Grand Prix,OCO,Haas F1 Team,15,15,1704.0,16,0
Austrian Grand Prix,ALB,Williams,18,18,2396.0,17,0
Austrian Grand Prix,ALO,Aston Martin,21,21,3829.0,18,0
Austrian Grand Prix,STR,Aston Martin,22,22,4250.0,99,1
Austrian Grand Prix,SAI,Williams,17,17,2139.0,99,1
Austrian Grand Prix,PER,Cadillac,19,19,2832.0,99,1
Austrian Grand Prix,BOT,Cadillac,20,20,2917.0,99,1
British Grand Prix,LEC,Ferrari,2,2,175.0,1,0
British Grand Prix,RUS,Mercedes,4,4,370.0,2,0
British Grand Prix,HAM,Ferrari,3,3,347.0,3,0
British Grand Prix,NOR,McLaren,6,6,766.0,4,0
British Grand Prix,HAD,Red Bull Racing,5,5,635.0,5,0
British Grand Prix,LAW,Racing Bulls,10,10,1605.0,6,0
British Grand Prix,LIN,Racing Bulls,9,9,1194.0,7,0
British Grand Prix,BOR,Audi,11,11,1350.0,8,0
British Grand Prix,COL,Alpine,19,19,3210.0,9,0
British Grand Prix,GAS,Alpine,15,12,1952.0,10,0
British Grand Prix,PIA,McLaren,8,8,921.0,11,0
British Grand Prix,BEA,Haas F1 Team,13,14,2390.0,12,0
British Grand Prix,OCO,Haas F1 Team,17,17,2569.0,13,0
British Grand Prix,PER,Cadillac,20,20,3340.0,14,0
British Grand Prix,ANT,Mercedes,1,1,0.0,15,0
British Grand Prix,BOT,Cadillac,18,18,3116.0,16,0
British Grand Prix,SAI,Williams,14,15,2512.0,17,0
British Grand Prix,ALO,Aston Martin,21,22,4914.0,18,0
British Grand Prix,STR,Aston Martin,22,21,4752.0,19,0
British Grand Prix,VER,Red Bull Racing,7,7,782.0,20,0
British Grand Prix,ALB,Williams,16,16,3230.0,99,1
British Grand Prix,HUL,Audi,12,13,1965.0,99,1
