Driver,LapTime,Compound,TyreLife,Position,lap_time_mean_3,lap_time_delta,tyre_ratio
PER,76.445,1.0,6.0,19.0,76.50133333333333,0.09199999999999875,0.18181818181818182
PER,76.755,1.0,7.0,19.0,76.51766666666667,0.3100000000000023,0.21212121212121213
PER,77.959,1.0,8.0,19.0,77.053,1.2040000000000077,0.24242424242424243
PER,77.46,1.0,9.0,19.0,77.39133333333332,-0.49900000000000944,0.2727272727272727
PER,77.847,1.0,10.0,19.0,77.75533333333333,0.38700000000000045,0.30303030303030304
PER,77.616,1.0,11.0,19.0,77.641,-0.23099999999999454,0.3333333333333333
PER,77.128,1.0,12.0,19.0,77.53033333333333,-0.48799999999999955,0.36363636363636365
PER,77.047,1.0,13.0,19.0,77.26366666666667,-0.08100000000000307,0.3939393939393939
PER,76.859,1.0,14.0,19.0,77.01133333333333,-0.1880000000000024,0.42424242424242425
PER,76.98,1.0,15.0,19.0,76.962,0.12100000000000932,0.45454545454545453
PER,78.524,1.0,16.0,19.0,77.45433333333334,1.543999999999997,0.48484848484848486
PER,84.856,1.0,17.0,19.0,80.12,6.331999999999994,0.5151515151515151
PER,85.645,1.0,18.0,17.0,83.00833333333333,0.7890000000000015,0.5454545454545454
PER,98.2,1.0,19.0,15.0,89.56700000000001,12.555000000000007,0.5757575757575758
PER,115.544,1.0,20.0,19.0,99.79633333333334,17.343999999999994,0.6060606060606061
PER,102.332,0.0,1.0,17.0,105.35866666666668,-13.212000000000003,0.030303030303030304
PER,100.446,0.0,2.0,17.0,106.10733333333333,-1.8859999999999957,0.06060606060606061
PER,105.055,0.0,3.0,16.0,102.611,4.609000000000009,0.09090909090909091
PER,125.839,0.0,4.0,17.0,110.44666666666667,20.783999999999992,0.12121212121212122
PER,105.989,0.0,1.0,17.0,112.29433333333333,-19.849999999999994,0.030303030303030304
PER,100.595,0.0,2.0,16.0,110.80766666666666,-5.3940000000000055,0.06060606060606061
PER,101.082,0.0,3.0,16.0,102.55533333333334,0.48699999999999477,0.09090909090909091
PER,101.22,0.0,4.0,16.0,100.96566666666666,0.13800000000000523,0.12121212121212122
PER,99.631,0.0,5.0,16.0,100.64433333333334,-1.5889999999999986,0.15151515151515152
PER,99.405,0.0,6.0,16.0,100.08533333333332,-0.2259999999999991,0.18181818181818182
PER,97.112,0.0,7.0,16.0,98.71600000000001,-2.2930000000000064,0.21212121212121213
PER,97.675,0.0,8.0,16.0,98.06400000000001,0.5630000000000024,0.24242424242424243
PER,96.451,0.0,9.0,16.0,97.07933333333334,-1.2240000000000038,0.2727272727272727
PER,95.957,0.0,10.0,16.0,96.69433333333332,-0.4939999999999998,0.30303030303030304
PER,96.297,0.0,11.0,16.0,96.235,0.3400000000000034,0.3333333333333333
PER,95.708,0.0,12.0,16.0,95.98733333333332,-0.5889999999999986,0.36363636363636365
PER,118.066,0.0,13.0,17.0,103.35700000000001,22.358000000000004,0.3939393939393939
PER,96.744,0.0,1.0,17.0,103.50600000000001,-21.322000000000003,0.030303030303030304
PER,89.537,0.0,2.0,17.0,101.449,-7.206999999999994,0.06060606060606061
PER,86.82,0.0,3.0,17.0,91.03366666666666,-2.717000000000013,0.09090909090909091
PER,85.704,0.0,4.0,17.0,87.35366666666665,-1.1159999999999997,0.12121212121212122
PER,94.148,0.0,5.0,17.0,88.89066666666666,8.444000000000003,0.15151515151515152
PER,90.273,0.0,6.0,17.0,90.04166666666667,-3.875,0.18181818181818182
ALO,85.527,2.0,2.0,2.0,0.0,0.0,0.03636363636363636
ALO,79.646,2.0,3.0,2.0,0.0,-5.881,0.05454545454545454
ALO,79.113,2.0,4.0,2.0,81.42866666666667,-0.5330000000000013,0.07272727272727272
