Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,Sector1Time,Sector2Time,Sector3Time,year,gp,session_code,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio
VER,1,Red Bull Racing,25.0,1.0,MEDIUM,25.0,1.0,1,92.295,29.912,37.183,25.2,2023,Pre-Season Testing,R,224.80701754385964,299.0,68.19033357330349,71.24853801169591,40.947282976939576,0.15204678362573099,10264.684210526315,5.7105263157894735,0.0
VER,1,Red Bull Racing,26.0,1.0,MEDIUM,26.0,1.0,1,92.276,29.752,37.242,25.282,2023,Pre-Season Testing,R,227.21037463976944,296.0,67.208751723572,71.44380403458213,40.871561624794175,0.14985590778097982,10318.239193083573,5.76657060518732,0.0
VER,1,Red Bull Racing,27.0,1.0,MEDIUM,27.0,1.0,1,92.138,29.668,37.223,25.247,2023,Pre-Season Testing,R,228.2922636103152,298.0,67.55581321948839,70.50429799426934,41.302961248691894,0.14613180515759314,10392.455587392551,5.707736389684814,0.0
VER,1,Red Bull Racing,28.0,1.0,MEDIUM,28.0,1.0,1,92.215,29.826,37.244,25.145,2023,Pre-Season Testing,R,227.76638176638176,298.0,67.65413815460522,71.63532763532764,40.682650634859854,0.14245014245014245,10415.185185185184,5.669515669515669,0.0
VER,1,Red Bull Racing,29.0,1.0,MEDIUM,29.0,1.0,1,92.251,29.871,37.266,25.114,2023,Pre-Season Testing,R,229.89123867069486,299.0,66.62755105337533,71.38066465256797,41.04882666369392,0.1540785498489426,10436.404833836858,5.740181268882175,0.0
VER,1,Red Bull Racing,30.0,1.0,MEDIUM,30.0,1.0,1,92.363,29.844,37.229,25.29,2023,Pre-Season Testing,R,227.6685552407932,297.0,67.47542105032102,70.68555240793201,40.80211726894374,0.1359773371104816,10286.824362606232,5.7733711048158645,0.0
VER,1,Red Bull Racing,31.0,1.0,MEDIUM,31.0,1.0,1,92.388,29.905,37.23,25.253,2023,Pre-Season Testing,R,226.29768786127167,297.0,68.10201933949375,70.28323699421965,41.26303896774711,0.15606936416184972,10290.08092485549,5.699421965317919,0.0
VER,1,Red Bull Racing,32.0,1.0,MEDIUM,32.0,1.0,1,92.21,29.879,37.136,25.195,2023,Pre-Season Testing,R,227.55685131195335,297.0,67.71138962385587,71.99708454810495,40.1714526188732,0.14285714285714285,10333.008746355685,5.795918367346939,0.0
VER,1,Red Bull Racing,33.0,1.0,MEDIUM,33.0,1.0,1264,118.611,38.163,50.088,30.36,2023,Pre-Season Testing,R,170.45111111111112,297.0,57.03364037671226,44.30222222222222,36.297609785215506,0.17777777777777778,9498.642222222223,4.293333333333333,0.8577777777777778
VER,1,Red Bull Racing,35.0,2.0,SOFT,5.0,1.0,4,147.771,48.617,59.552,39.602,2023,Pre-Season Testing,R,142.02957486136785,239.0,40.78769619315178,32.0184842883549,31.276538809794573,0.28650646950092423,9307.256931608134,3.3604436229205175,1.0
