Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
VER,1,Red Bull Racing,36.0,2.0,SOFT,6.0,1.0,146.545,52.402,57.524,36.619,4,2023,Pre-Season Testing,R,0 days 01:59:12.627000,21.0,63.0,1001.2,False,30.1,236,1.3
VER,1,Red Bull Racing,37.0,2.0,SOFT,7.0,1.0,143.835,49.228,57.444,37.163,4,2023,Pre-Season Testing,R,0 days 02:02:12.639000,20.9,63.0,1001.2,False,29.7,246,0.8
VER,1,Red Bull Racing,38.0,2.0,SOFT,8.0,1.0,141.674,41.251,57.488,42.935,41,2023,Pre-Season Testing,R,0 days 02:04:12.637000,20.9,63.0,1001.2,False,29.4,199,1.8
VER,1,Red Bull Racing,39.0,2.0,SOFT,9.0,1.0,90.348,28.668,36.724,24.956,1,2023,Pre-Season Testing,R,0 days 02:07:12.634000,21.0,64.0,1001.2,False,29.3,201,1.2
VER,1,Red Bull Racing,40.0,2.0,SOFT,10.0,1.0,90.547,29.056,36.602,24.889,1,2023,Pre-Season Testing,R,0 days 02:08:12.633000,21.0,63.0,1001.0,False,29.5,218,1.1
VER,1,Red Bull Racing,41.0,2.0,SOFT,11.0,1.0,90.688,29.118,36.63,24.94,1,2023,Pre-Season Testing,R,0 days 02:10:12.646000,21.1,62.0,1001.0,False,29.7,192,2.4
VER,1,Red Bull Racing,42.0,2.0,SOFT,12.0,1.0,90.275,29.078,36.353,24.844,1,2023,Pre-Season Testing,R,0 days 02:11:12.645000,21.2,61.0,1001.0,False,29.9,192,1.0
VER,1,Red Bull Racing,43.0,2.0,SOFT,13.0,1.0,90.535,29.205,36.344,24.986,1,2023,Pre-Season Testing,R,0 days 02:13:12.674000,21.4,61.0,1001.0,False,30.7,177,1.7
VER,1,Red Bull Racing,44.0,2.0,SOFT,14.0,1.0,90.648,29.135,36.586,24.927,1,2023,Pre-Season Testing,R,0 days 02:14:12.673000,21.4,57.0,1001.0,False,31.1,220,2.0
VER,1,Red Bull Racing,45.0,2.0,SOFT,15.0,1.0,91.342,29.245,36.759,25.338,1,2023,Pre-Season Testing,R,0 days 02:16:12.702000,21.4,57.0,1001.0,False,30.4,212,2.0
VER,1,Red Bull Racing,46.0,2.0,SOFT,16.0,1.0,91.114,29.413,36.576,25.125,1,2023,Pre-Season Testing,R,0 days 02:17:12.717000,21.4,57.0,1001.0,False,30.3,186,3.0
VER,1,Red Bull Racing,47.0,2.0,SOFT,17.0,1.0,91.148,29.339,36.621,25.188,1,2023,Pre-Season Testing,R,0 days 02:19:12.715000,21.4,59.0,1001.0,False,30.0,192,2.4
VER,1,Red Bull Racing,48.0,2.0,SOFT,18.0,1.0,91.4,29.405,36.769,25.226,1,2023,Pre-Season Testing,R,0 days 02:20:12.729000,21.5,58.0,1001.0,False,30.0,229,2.4
VER,1,Red Bull Racing,49.0,2.0,SOFT,19.0,1.0,91.218,29.336,36.686,25.196,1,2023,Pre-Season Testing,R,0 days 02:22:12.727000,21.5,54.0,1001.0,False,29.6,188,3.4
VER,1,Red Bull Racing,50.0,2.0,SOFT,20.0,1.0,91.292,29.424,36.739,25.129,1,2023,Pre-Season Testing,R,0 days 02:23:12.757000,21.6,54.0,1000.9,False,29.6,200,4.3
VER,1,Red Bull Racing,51.0,2.0,SOFT,21.0,1.0,91.397,29.4,36.701,25.296,1,2023,Pre-Season Testing,R,0 days 02:25:12.771000,21.7,54.0,1001.0,False,30.2,203,3.7
VER,1,Red Bull Racing,52.0,2.0,SOFT,22.0,1.0,90.975,29.22,36.604,25.151,1,2023,Pre-Season Testing,R,0 days 02:26:12.770000,21.8,53.0,1001.0,False,30.2,188,3.5
GAS,10,Alpine,1.0,1.0,MEDIUM,1.0,9.0,101.014,,39.27,26.911,1,2023,Pre-Season Testing,R,0 days 01:02:12.512000,21.4,54.0,1001.2,False,29.6,236,3.7
GAS,10,Alpine,2.0,1.0,MEDIUM,2.0,9.0,94.706,29.954,38.367,26.385,1,2023,Pre-Season Testing,R,0 days 01:04:12.510000,21.4,55.0,1001.4,False,29.5,191,3.2
GAS,10,Alpine,3.0,1.0,MEDIUM,3.0,9.0,93.605,29.596,38.168,25.841,1,2023,Pre-Season Testing,R,0 days 01:06:12.507000,21.5,54.0,1001.2,False,29.4,238,3.4
GAS,10,Alpine,4.0,1.0,MEDIUM,4.0,9.0,93.349,29.492,38.086,25.771,1,2023,Pre-Season Testing,R,0 days 01:07:12.506000,21.4,55.0,1001.2,False,29.4,188,3.2
GAS,10,Alpine,5.0,1.0,MEDIUM,5.0,9.0,93.863,29.566,38.12,26.177,1,2023,Pre-Season Testing,R,0 days 01:09:12.504000,21.4,55.0,1001.2,False,29.3,221,3.4
GAS,10,Alpine,6.0,1.0,MEDIUM,6.0,9.0,94.143,29.697,38.381,26.065,1,2023,Pre-Season Testing,R,0 days 01:10:12.503000,21.5,55.0,1001.4,False,29.4,193,3.2
GAS,10,Alpine,7.0,1.0,MEDIUM,7.0,9.0,94.399,29.916,38.456,26.027,1,2023,Pre-Season Testing,R,0 days 01:12:12.517000,21.4,54.0,1001.2,False,29.3,198,4.0
GAS,10,Alpine,8.0,1.0,MEDIUM,8.0,9.0,93.905,29.751,38.006,26.148,1,2023,Pre-Season Testing,R,0 days 01:14:12.515000,21.5,55.0,1001.4,False,29.1,201,3.5
GAS,10,Alpine,9.0,1.0,MEDIUM,9.0,9.0,93.592,29.741,37.85,26.001,1,2023,Pre-Season Testing,R,0 days 01:15:12.513000,21.4,55.0,1001.2,False,29.1,185,3.4
GAS,10,Alpine,10.0,1.0,MEDIUM,10.0,9.0,93.855,29.747,37.908,26.2,1,2023,Pre-Season Testing,R,0 days 01:17:12.511000,21.3,55.0,1001.2,False,29.2,202,3.7
GAS,10,Alpine,11.0,1.0,MEDIUM,11.0,9.0,93.836,29.877,37.962,25.997,1,2023,Pre-Season Testing,R,0 days 01:18:12.510000,21.4,55.0,1001.2,False,29.2,203,3.2
GAS,10,Alpine,12.0,1.0,MEDIUM,12.0,9.0,93.705,29.806,37.902,25.997,1,2023,Pre-Season Testing,R,0 days 01:20:12.524000,21.3,55.0,1001.2,False,29.1,187,4.5
GAS,10,Alpine,13.0,1.0,MEDIUM,13.0,9.0,93.683,29.79,37.925,25.968,1,2023,Pre-Season Testing,R,0 days 01:21:12.570000,21.4,56.0,1001.2,False,28.9,189,4.3
