Driver,LapTime,Compound,TyreLife,Position
LEC,78.316,HARD,16.0,6.0
LEC,78.234,HARD,17.0,6.0
LEC,78.361,HARD,18.0,6.0
LEC,78.19,HARD,19.0,6.0
LEC,78.365,HARD,20.0,6.0
LEC,78.127,HARD,21.0,6.0
LEC,77.886,HARD,22.0,6.0
LEC,77.922,HARD,23.0,6.0
LEC,77.586,HARD,24.0,6.0
LEC,77.619,HARD,25.0,6.0
LEC,77.879,HARD,26.0,6.0
LEC,77.602,HARD,27.0,6.0
LEC,77.48,HARD,28.0,6.0
LEC,77.065,HARD,29.0,6.0
LEC,77.559,HARD,30.0,6.0
LEC,77.876,HARD,31.0,5.0
LEC,77.282,HARD,32.0,4.0
LEC,77.163,HARD,33.0,3.0
LEC,77.461,HARD,34.0,3.0
LEC,77.467,HARD,35.0,3.0
LEC,77.491,HARD,36.0,3.0
LEC,77.361,HARD,37.0,3.0
LEC,77.483,HARD,38.0,3.0
LEC,77.213,HARD,39.0,3.0
LEC,77.237,HARD,40.0,3.0
LEC,78.328,HARD,41.0,3.0
LEC,77.801,HARD,42.0,3.0
LEC,78.451,HARD,43.0,3.0
LEC,95.442,HARD,44.0,8.0
LEC,79.563,MEDIUM,1.0,8.0
LEC,75.773,MEDIUM,2.0,8.0
LEC,76.358,MEDIUM,3.0,8.0
LEC,76.971,MEDIUM,4.0,7.0
LEC,76.283,MEDIUM,5.0,7.0
LEC,75.956,MEDIUM,6.0,7.0
LEC,77.017,MEDIUM,7.0,7.0
LEC,83.243,MEDIUM,8.0,7.0
LEC,93.259,MEDIUM,9.0,7.0
LEC,95.725,MEDIUM,10.0,4.0
LEC,129.246,MEDIUM,11.0,6.0
LEC,103.008,INTERMEDIATE,1.0,6.0
LEC,103.373,INTERMEDIATE,2.0,6.0
LEC,103.473,INTERMEDIATE,3.0,6.0
LEC,102.305,INTERMEDIATE,4.0,6.0
LEC,102.852,INTERMEDIATE,5.0,6.0
LEC,102.262,INTERMEDIATE,6.0,6.0
LEC,101.144,INTERMEDIATE,7.0,6.0
LEC,100.396,INTERMEDIATE,8.0,6.0
LEC,99.223,INTERMEDIATE,9.0,6.0
LEC,98.481,INTERMEDIATE,10.0,6.0
LEC,95.05,INTERMEDIATE,11.0,6.0
LEC,94.515,INTERMEDIATE,12.0,6.0
LEC,93.903,INTERMEDIATE,13.0,6.0
LEC,95.087,INTERMEDIATE,14.0,6.0
LEC,92.309,INTERMEDIATE,15.0,6.0
LEC,90.198,INTERMEDIATE,16.0,6.0
LEC,88.677,INTERMEDIATE,17.0,6.0
LEC,89.177,INTERMEDIATE,18.0,6.0
LEC,87.848,INTERMEDIATE,19.0,6.0
LEC,86.923,INTERMEDIATE,20.0,6.0
LEC,86.435,INTERMEDIATE,21.0,6.0
LEC,85.965,INTERMEDIATE,22.0,6.0
LEC,86.939,INTERMEDIATE,23.0,6.0
STR,99.562,HARD,2.0,17.0
STR,79.989,HARD,3.0,17.0
STR,79.928,HARD,4.0,17.0
STR,79.998,HARD,5.0,17.0
STR,80.438,HARD,6.0,17.0
STR,79.785,HARD,7.0,17.0
STR,79.417,HARD,8.0,17.0
STR,78.733,HARD,9.0,17.0
STR,78.659,HARD,10.0,17.0
STR,79.893,HARD,11.0,17.0
STR,79.758,HARD,12.0,17.0
STR,80.639,HARD,13.0,17.0
STR,80.847,HARD,14.0,17.0
STR,80.295,HARD,15.0,17.0
STR,80.203,HARD,16.0,17.0
STR,80.545,HARD,17.0,17.0
STR,81.17,HARD,18.0,16.0
STR,77.769,HARD,19.0,15.0
STR,77.915,HARD,20.0,15.0
STR,78.061,HARD,21.0,15.0
STR,78.594,HARD,22.0,15.0
STR,78.548,HARD,23.0,15.0
STR,78.927,HARD,24.0,15.0
STR,78.439,HARD,25.0,15.0
STR,79.058,HARD,26.0,15.0
STR,78.926,HARD,27.0,15.0
STR,79.772,HARD,28.0,15.0
STR,79.86,HARD,29.0,15.0
STR,79.831,HARD,30.0,15.0
STR,79.86,HARD,31.0,15.0
STR,81.753,HARD,32.0,16.0
STR,79.387,HARD,33.0,16.0
STR,80.446,HARD,34.0,15.0
STR,78.583,HARD,35.0,15.0
STR,81.072,HARD,36.0,15.0
STR,79.544,HARD,37.0,15.0
STR,78.76,HARD,38.0,15.0
STR,78.424,HARD,39.0,15.0
STR,78.498,HARD,40.0,15.0
STR,78.498,HARD,41.0,15.0
STR,78.574,HARD,42.0,15.0
STR,78.732,HARD,43.0,15.0
STR,78.898,HARD,44.0,15.0
STR,78.533,HARD,45.0,15.0
STR,78.374,HARD,46.0,15.0
STR,78.723,HARD,47.0,15.0
STR,79.033,HARD,48.0,15.0
STR,78.573,HARD,49.0,15.0
STR,78.418,HARD,50.0,15.0
STR,80.218,HARD,51.0,15.0
STR,104.501,HARD,52.0,19.0
STR,92.189,INTERMEDIATE,1.0,17.0
STR,96.321,INTERMEDIATE,2.0,16.0
SAR,97.689,MEDIUM,1.0,15.0
SAR,79.658,MEDIUM,2.0,15.0
SAR,80.219,MEDIUM,3.0,15.0
SAR,80.246,MEDIUM,4.0,15.0
SAR,80.214,MEDIUM,5.0,15.0
SAR,79.312,MEDIUM,6.0,15.0
SAR,79.239,MEDIUM,7.0,15.0
SAR,78.947,MEDIUM,8.0,15.0
SAR,79.529,MEDIUM,9.0,15.0
SAR,80.334,MEDIUM,10.0,15.0
SAR,80.089,MEDIUM,11.0,15.0
SAR,80.638,MEDIUM,12.0,15.0
SAR,80.702,MEDIUM,13.0,15.0
SAR,80.318,MEDIUM,14.0,15.0
SAR,80.28,MEDIUM,15.0,15.0
SAR,80.471,MEDIUM,16.0,15.0
