Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,PitInTime,PitOutTime,TrackStatus,IsPersonalBest,year,gp,session_code,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,speed_mean,speed_max,throttle_mean,brake_mean,rpm_mean,gear_mean
VER,1,Red Bull Racing,34.0,1.0,MEDIUM,34.0,True,1.0,78.044,20.33,36.922,20.792,,,1,False,2023,Monaco,R,0 days 01:45:42.857000,25.5,41.0,1013.5,False,38.4,147,1.2,150.74324324324326,273.0,47.020270270270274,0.24324324324324326,9320.222972972973,3.6385135135135136
VER,1,Red Bull Racing,35.0,1.0,MEDIUM,35.0,True,1.0,78.024,20.355,36.913,20.756,,,1,False,2023,Monaco,R,0 days 01:46:42.856000,25.5,41.0,1013.4,False,37.9,92,1.0,152.97297297297297,272.0,47.192567567567565,0.24324324324324326,9361.472972972973,3.6722972972972974
VER,1,Red Bull Racing,36.0,1.0,MEDIUM,36.0,True,1.0,77.974,20.616,36.766,20.592,,,1,False,2023,Monaco,R,0 days 01:47:42.870000,25.5,41.0,1013.4,False,37.9,174,1.1,151.6208053691275,272.0,45.31543624161074,0.25838926174496646,9342.375838926175,3.640939597315436
VER,1,Red Bull Racing,37.0,1.0,MEDIUM,37.0,True,1.0,77.273,20.145,36.631,20.497,,,1,False,2023,Monaco,R,0 days 01:48:42.869000,25.4,41.0,1013.4,False,37.9,154,1.6,152.51398601398603,271.0,46.52447552447553,0.2517482517482518,9355.398601398601,3.674825174825175
VER,1,Red Bull Racing,38.0,1.0,MEDIUM,38.0,True,1.0,77.122,20.055,36.492,20.575,,,1,False,2023,Monaco,R,0 days 01:50:42.914000,25.3,41.0,1013.2,False,37.5,140,1.3,152.78620689655173,271.0,49.12413793103448,0.23103448275862068,9373.45172413793,3.6551724137931036
VER,1,Red Bull Racing,39.0,1.0,MEDIUM,39.0,True,1.0,76.966,20.026,36.407,20.533,,,1,False,2023,Monaco,R,0 days 01:51:42.897000,25.3,41.0,1013.4,False,36.8,67,0.6,152.95666666666668,270.0,46.23,0.25,9302.63,3.703333333333333
VER,1,Red Bull Racing,40.0,1.0,MEDIUM,40.0,True,1.0,77.161,20.11,36.515,20.536,,,1,False,2023,Monaco,R,0 days 01:52:42.912000,25.3,41.0,1013.4,False,36.8,158,1.2,155.3904109589041,271.0,47.05821917808219,0.23972602739726026,9357.907534246575,3.7465753424657535
VER,1,Red Bull Racing,41.0,1.0,MEDIUM,41.0,True,1.0,76.944,20.092,36.394,20.458,,,1,False,2023,Monaco,R,0 days 01:54:42.941000,25.3,41.0,1013.4,False,36.8,152,1.2,153.52631578947367,269.0,47.343859649122805,0.24912280701754386,9388.842105263158,3.687719298245614
VER,1,Red Bull Racing,42.0,1.0,MEDIUM,42.0,True,1.0,76.8,19.937,36.446,20.417,,,1,False,2023,Monaco,R,0 days 01:55:42.940000,25.3,42.0,1013.2,False,36.5,139,1.2,151.7665505226481,271.0,44.64459930313589,0.26480836236933797,9218.668989547039,3.682926829268293
VER,1,Red Bull Racing,43.0,1.0,MEDIUM,43.0,True,1.0,76.963,19.979,36.577,20.407,,,1,False,2023,Monaco,R,0 days 01:56:42.954000,25.3,41.0,1013.2,False,36.5,109,1.2,153.57191780821918,270.0,45.9041095890411,0.2602739726027397,9335.688356164384,3.7157534246575343
VER,1,Red Bull Racing,44.0,1.0,MEDIUM,44.0,True,1.0,76.722,19.943,36.347,20.432,,,1,False,2023,Monaco,R,0 days 01:57:42.969000,25.2,42.0,1013.4,False,36.4,151,0.8,155.4623287671233,271.0,48.75,0.24315068493150685,9413.801369863013,3.7773972602739727
VER,1,Red Bull Racing,45.0,1.0,MEDIUM,45.0,True,1.0,76.701,19.913,36.379,20.409,,,1,False,2023,Monaco,R,0 days 01:59:42.967000,25.2,42.0,1013.4,False,36.3,0,0.0,155.35915492957747,273.0,48.44718309859155,0.2640845070422535,9424.781690140846,3.7288732394366195
VER,1,Red Bull Racing,46.0,1.0,MEDIUM,46.0,True,1.0,77.075,19.99,36.632,20.453,,,1,False,2023,Monaco,R,0 days 02:00:42.981000,25.1,43.0,1013.4,False,36.1,153,0.8,154.63422818791946,272.0,48.33892617449664,0.2550335570469799,9354.55033557047,3.7248322147651005
VER,1,Red Bull Racing,47.0,1.0,MEDIUM,47.0,True,1.0,77.16,20.018,36.619,20.523,,,1,False,2023,Monaco,R,0 days 02:01:42.980000,25.0,43.0,1013.2,False,36.1,131,0.8,152.21453287197232,273.0,47.75432525951557,0.24567474048442905,9357.19723183391,3.667820069204152
VER,1,Red Bull Racing,48.0,1.0,MEDIUM,48.0,True,1.0,77.065,19.972,36.606,20.487,,,1,False,2023,Monaco,R,0 days 02:03:42.963000,25.1,42.0,1013.4,False,36.0,145,1.0,153.9829351535836,273.0,47.69283276450512,0.25597269624573377,9341.856655290103,3.6996587030716723
VER,1,Red Bull Racing,49.0,1.0,MEDIUM,49.0,True,1.0,77.428,20.073,36.7,20.655,,,1,False,2023,Monaco,R,0 days 02:04:42.977000,25.0,42.0,1013.2,False,35.9,128,2.0,152.53465346534654,273.0,46.43894389438944,0.24092409240924093,9283.762376237624,3.66996699669967
VER,1,Red Bull Racing,50.0,1.0,MEDIUM,50.0,True,1.0,77.314,20.095,36.655,20.564,,,1,False,2023,Monaco,R,0 days 02:05:42.976000,25.0,42.0,1013.2,False,35.8,163,1.0,154.93425605536333,274.0,48.53979238754325,0.24567474048442905,9370.498269896194,3.7508650519031144
VER,1,Red Bull Racing,51.0,1.0,MEDIUM,51.0,True,1.0,77.427,20.073,36.836,20.518,,,1,False,2023,Monaco,R,0 days 02:06:42.975000,25.0,43.0,1013.4,False,35.8,158,0.6,152.8453237410072,272.0,47.80935251798561,0.2589928057553957,9332.05035971223,3.658273381294964
VER,1,Red Bull Racing,52.0,1.0,MEDIUM,52.0,True,1.0,84.046,20.561,41.201,22.284,,,1,False,2023,Monaco,R,0 days 02:08:42.973000,25.0,43.0,1013.4,False,35.7,0,0.4,143.6801242236025,272.0,42.03105590062112,0.2857142857142857,9104.562111801242,3.468944099378882
VER,1,Red Bull Racing,53.0,1.0,MEDIUM,53.0,True,1.0,89.919,23.457,44.072,22.39,,,1,False,2023,Monaco,R,0 days 02:09:42.972000,25.0,42.0,1013.2,False,35.3,97,0.5,131.76899696048633,268.0,34.08510638297872,0.2978723404255319,8742.744680851063,3.1337386018237083
VER,1,Red Bull Racing,54.0,1.0,MEDIUM,54.0,True,1.0,98.946,24.995,49.817,24.134,,,1,False,2023,Monaco,R,0 days 02:11:42.970000,24.8,42.0,1013.2,True,35.1,75,0.6,120.75466666666667,267.0,28.944,0.336,8453.997333333333,2.7946666666666666
VER,1,Red Bull Racing,55.0,1.0,MEDIUM,55.0,True,1.0,130.567,28.61,55.513,46.444,8057.451,,12,False,2023,Monaco,R,0 days 02:12:42.968000,24.7,42.0,1013.2,True,34.9,133,0.8,89.48582995951416,258.0,19.358299595141702,0.30364372469635625,7868.261133603239,1.8137651821862348
VER,1,Red Bull Racing,56.0,2.0,INTERMEDIATE,1.0,True,1.0,106.131,30.769,48.885,26.477,,8081.935,21,False,2023,Monaco,R,0 days 02:14:42.982000,24.6,43.0,1013.2,True,34.5,217,0.5,111.06435643564356,253.0,26.57920792079208,0.3316831683168317,8686.606435643564,2.3168316831683167
VER,1,Red Bull Racing,57.0,2.0,INTERMEDIATE,2.0,True,1.0,103.464,28.427,48.738,26.299,,,1,False,2023,Monaco,R,0 days 02:16:42.964000,24.5,45.0,1013.2,True,33.9,104,0.6,114.90837696335079,263.0,26.973821989528794,0.31413612565445026,8388.083769633507,2.657068062827225
VER,1,Red Bull Racing,58.0,2.0,INTERMEDIATE,3.0,True,1.0,102.808,28.298,47.828,26.682,,,12,False,2023,Monaco,R,0 days 02:18:42.978000,24.0,49.0,1013.2,True,31.7,147,0.6,114.24069478908189,262.0,25.168734491315135,0.3424317617866005,8349.074441687344,2.6228287841191067
