year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,avg_distance_to_car_ahead,dirty_air_pct,dirty_air_score_mean,cornering_intensity,brake_pressure_mean,accel_proxy_std,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms
2026,Miami Grand Prix,R,ALO,14,Aston Martin,29,1.0,MEDIUM,29.0,14.0,1,96.08,,,True,199.3532116356286,315.0,80.66654527659195,60.897340576635635,42.857852674721016,0.18930041152263374,10198.72800284127,4.617283950617284,0.0,84.42286265480178,0.6474622770919067,0.41012939340804566,0.03993355889754987,18.930041152263374,4.6223356365183275,27.8,38.0,66.9,1015.5,0.0,0.8,260.0,0,0,1,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,30,1.0,MEDIUM,30.0,14.0,1,96.191,,,False,201.22707227014538,316.0,80.47820012180841,61.18010606724219,43.052468141985166,0.17647058823529413,10189.089663595843,4.6894664842681255,0.0,740.6281219627791,0.0,0.0,0.05636830486865583,17.647058823529413,4.569725957613124,27.8,38.3,66.8,1015.5,0.0,0.8,245.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,31,1.0,MEDIUM,31.0,14.0,1,96.39,,,False,199.23471954590332,309.0,79.40546023765279,61.4811740012448,42.973767772998876,0.16363636363636364,10079.360498741355,4.688111888111888,0.0,824.4174963585209,0.0,0.0,0.041267757480612684,16.363636363636363,4.746018517897888,27.9,39.1,66.6,1015.4,0.0,1.0,301.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,32,1.0,MEDIUM,32.0,14.0,1,96.335,,,False,199.58734164512725,312.0,79.02195630504711,62.67954692596059,42.68512564418291,0.18067226890756302,10140.033001388987,4.663865546218488,0.0,382.84128545564243,0.0,0.0,0.04074539430949947,18.067226890756302,4.852485743405145,27.9,39.0,67.0,1015.4,0.0,1.7,262.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,33,1.0,MEDIUM,33.0,15.0,1,96.708,,,False,199.25379297986458,313.0,82.4246507127865,60.02198673195381,43.004976987270965,0.19583333333333333,10102.166675987857,4.648611111111111,0.0,106.3080668059164,0.5555555555555556,0.415128179473919,0.04046640604255241,19.583333333333332,5.354771400198622,27.9,38.6,66.8,1015.3,0.0,0.4,269.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,34,1.0,MEDIUM,34.0,15.0,1,95.644,,,False,201.06276231561912,323.0,85.37371440719714,60.75208229268571,42.89976051694034,0.1888111888111888,10133.924732325631,4.734265734265734,0.0,64.73837958607947,0.6937062937062937,0.4605135034493376,0.04135726249948199,18.88111888111888,5.0499878500482245,28.0,38.7,66.6,1015.3,0.0,0.9,240.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,35,1.0,MEDIUM,35.0,15.0,1,96.543,,,False,199.59601198957645,315.0,81.34977765127634,59.5543870132135,42.578205120619465,0.16279069767441862,10105.088914524558,4.667578659370725,0.0,133.7375129969971,0.3283173734610123,0.17648151616700788,0.049853850528567945,16.27906976744186,4.858651565825725,27.9,38.4,67.1,1015.3,0.0,1.3,267.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,36,1.0,MEDIUM,36.0,15.0,1,96.451,,,False,200.24841425018374,313.0,80.38190186233889,60.121830037619,42.766168270785926,0.18995929443690637,10063.511546512842,4.786974219810041,0.0,221.99074933309223,0.029850746268656716,0.014974163264304292,0.040187727364836695,18.99592944369064,5.027296373432694,27.8,39.1,68.3,1015.3,0.0,1.8,0.0,0,0,1,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,37,1.0,MEDIUM,37.0,15.0,1,96.558,,,False,199.3844006194974,312.0,79.105803312836,61.664912889777234,42.97631251078895,0.1680327868852459,9976.011855443894,4.808743169398907,0.0,326.20361805967104,0.0,0.0,0.040530037021036434,16.80327868852459,4.6835413518390405,28.0,39.3,66.7,1015.3,0.0,1.8,333.0,0,0,0,17.0,17.0,3300.0
2026,Miami Grand Prix,R,ALO,14,Aston Martin,38,1.0,MEDIUM,38.0,15.0,1,96.87,,,False,197.8466303227344,312.0,80.40161367671267,60.72723885274772,42.94365656334044,0.20438957475994513,10047.91694284824,4.657064471879287,0.0,406.7208073363481,0.0,0.0,0.040136894213343904,20.438957475994513,4.809535429809211,27.9,39.3,67.4,1015.3,0.0,2.3,316.0,0,0,0,17.0,17.0,3300.0
