year,gp,session_code,Driver,DriverNumber,Team,LapNumber,Stint,Compound,TyreLife,Position,TrackStatus,LapTime,PitOutTime,PitInTime,Deleted,speed_mean,speed_max,speed_std,throttle_mean,throttle_std,brake_ratio,rpm_mean,gear_mean,drs_ratio,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,is_sc,is_vsc,is_yellow,quali_position,grid_position,gap_to_pole_ms
2026,Australian Grand Prix,R,NOR,1,McLaren,33,2.0,HARD,22.0,5.0,1,84.79,,,False,222.90965732087227,317.0,64.77288157627932,66.33021806853583,42.261425854611176,0.13707165109034267,10652.348909657321,5.9034267912772584,0.0,25.2,37.0,53.1,1012.0,0.0,4.0,125.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,34,2.0,HARD,23.0,6.0,167,112.732,,0 days 01:52:42.584000,False,165.50731707317073,297.0,75.40009789751903,42.451219512195124,39.24281892448554,0.2,10094.121951219513,4.2926829268292686,0.0,25.1,37.7,53.2,1011.8,0.0,2.5,107.0,1,0,1,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,35,3.0,MEDIUM,1.0,8.0,1,89.434,0 days 01:53:00.323000,,False,209.51661631419938,323.0,70.6610487749122,61.57401812688822,42.84888657214324,0.18126888217522658,10682.117824773413,5.43202416918429,0.0,25.2,37.2,52.4,1011.9,0.0,3.7,105.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,36,3.0,MEDIUM,2.0,8.0,1,83.324,,,False,224.67100977198697,320.0,66.46503262655428,62.729641693811075,43.89189632429992,0.13680781758957655,10774.654723127036,5.837133550488599,0.0,25.3,37.6,52.3,1011.8,0.0,3.0,113.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,37,3.0,MEDIUM,3.0,8.0,1,83.448,,,False,226.36513157894737,326.0,67.60896278961526,65.27302631578948,43.59513472475194,0.14473684210526316,10876.332236842105,5.845394736842105,0.0,25.2,37.0,52.8,1011.8,0.0,3.8,120.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,38,3.0,MEDIUM,4.0,7.0,1,83.423,,,False,225.80434782608697,318.0,66.40597020022959,62.88509316770186,43.74432756986418,0.17701863354037267,10779.195652173914,5.885093167701863,0.0,25.1,36.7,53.4,1011.8,0.0,1.7,112.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,39,3.0,MEDIUM,5.0,6.0,1,84.001,,,False,223.43408360128618,326.0,64.04792557175135,64.69453376205787,43.033594555259235,0.12218649517684887,10751.8038585209,5.87459807073955,0.0,25.1,35.9,53.0,1011.8,0.0,3.0,115.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,40,3.0,MEDIUM,6.0,6.0,1,83.397,,,False,226.1625,314.0,63.46419398759664,66.178125,43.428132066444725,0.134375,10702.578125,5.990625,0.0,25.0,35.5,52.7,1011.8,0.0,3.1,140.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,41,3.0,MEDIUM,7.0,6.0,1,83.762,,,False,225.3957055214724,316.0,63.98571845432458,65.2239263803681,43.2959281572487,0.13496932515337423,10745.92944785276,5.911042944785276,0.0,25.0,35.4,52.5,1011.8,0.0,1.7,116.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,42,3.0,MEDIUM,8.0,5.0,1,83.347,,,False,226.11363636363637,315.0,64.13125340742026,68.6590909090909,41.7480111112392,0.10064935064935066,10723.86038961039,5.941558441558442,0.0,25.0,35.4,52.8,1011.8,0.0,2.8,96.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,43,3.0,MEDIUM,9.0,5.0,1,83.286,,,False,224.2253968253968,318.0,63.3371073057834,66.19365079365079,42.87216917180073,0.1365079365079365,10751.396825396825,5.914285714285715,0.0,25.1,35.5,52.6,1011.6,0.0,1.3,99.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,44,3.0,MEDIUM,10.0,5.0,1,83.192,,,False,227.63486842105263,317.0,64.01475877668176,66.6907894736842,42.158546194057216,0.10197368421052631,10840.092105263158,5.917763157894737,0.0,25.2,36.1,53.2,1011.6,0.0,4.3,100.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,45,3.0,MEDIUM,11.0,5.0,1,82.886,,,False,226.73076923076923,319.0,64.8148335760913,67.56089743589743,41.964570991309124,0.10576923076923077,10731.166666666666,5.94551282051282,0.0,25.1,36.6,52.5,1011.7,0.0,2.0,110.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,46,3.0,MEDIUM,12.0,5.0,1,82.908,,,False,227.5993265993266,323.0,65.75885820159465,65.26262626262626,42.833095121343234,0.2053872053872054,10778.528619528619,5.96969696969697,0.0,25.1,36.2,51.4,1011.7,0.0,4.2,104.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,47,3.0,MEDIUM,13.0,5.0,1,82.778,,,False,223.53225806451613,322.0,65.30538610583027,66.29354838709678,41.9415638746156,0.13548387096774195,10772.616129032258,5.825806451612904,0.0,25.1,35.6,51.4,1011.6,0.0,2.9,140.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,48,3.0,MEDIUM,14.0,5.0,1,82.953,,,False,225.9934210526316,319.0,66.36472846548367,67.19407894736842,41.70782980611268,0.1118421052631579,10773.667763157895,5.878289473684211,0.0,25.1,35.4,52.4,1011.6,0.0,4.0,106.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,49,3.0,MEDIUM,15.0,5.0,1,82.804,,,False,228.31372549019608,315.0,62.78048883376399,67.83660130718954,41.98484621491072,0.11437908496732026,10745.166666666666,6.029411764705882,0.0,25.2,35.8,52.5,1011.7,0.0,2.2,116.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,50,3.0,MEDIUM,16.0,5.0,1,82.763,,,False,230.35374149659864,315.0,62.10656950528275,70.45918367346938,41.117454760974155,0.1292517006802721,10734.904761904761,6.095238095238095,0.0,25.2,36.5,53.0,1011.6,0.0,2.6,116.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,51,3.0,MEDIUM,17.0,5.0,1,82.598,,,False,227.84488448844886,316.0,63.96780309668618,66.88778877887789,42.25091342006004,0.1254125412541254,10788.613861386139,5.976897689768977,0.0,25.2,36.4,52.0,1011.6,0.0,2.2,110.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,52,3.0,MEDIUM,18.0,5.0,1,82.784,,,False,223.93959731543623,319.0,64.58301662357478,67.65771812080537,41.278600420653234,0.1174496644295302,10733.077181208053,5.895973154362416,0.0,25.3,35.9,52.0,1011.6,0.0,2.3,125.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,53,3.0,MEDIUM,19.0,5.0,1,82.358,,,False,227.53770491803277,318.0,63.64787527961957,65.57049180327868,42.54172620507229,0.10491803278688525,10835.790163934425,5.950819672131147,0.0,25.3,35.3,51.1,1011.5,0.0,3.0,121.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,54,3.0,MEDIUM,20.0,5.0,1,82.796,,,False,225.37293729372936,318.0,65.86241072098332,66.89438943894389,41.93200979250295,0.132013201320132,10761.346534653465,5.910891089108911,0.0,25.3,35.0,51.5,1011.6,0.0,3.6,131.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,55,3.0,MEDIUM,21.0,5.0,1,82.867,,,False,224.76797385620915,317.0,65.60014309620016,66.50326797385621,42.51389345644922,0.14052287581699346,10725.67320261438,5.905228758169935,0.0,25.3,34.7,51.7,1011.5,0.0,4.2,130.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,56,3.0,MEDIUM,22.0,5.0,1,82.843,,,False,226.7051282051282,318.0,65.72819584656163,65.09294871794872,43.40796911762835,0.1282051282051282,10763.84294871795,5.935897435897436,0.0,25.2,34.6,51.6,1011.6,0.0,3.2,126.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,57,3.0,MEDIUM,23.0,5.0,1,83.416,,,False,225.61783439490446,320.0,65.68713092939944,64.31847133757962,42.93513023758453,0.15286624203821655,10754.770700636942,5.8949044585987265,0.0,25.2,34.6,51.9,1011.5,0.0,3.7,127.0,0,0,0,6.0,6.0,957.0
2026,Australian Grand Prix,R,NOR,1,McLaren,58,3.0,MEDIUM,24.0,5.0,1,83.046,,,False,227.05723905723906,314.0,63.28512343163161,66.32659932659932,42.79189585536437,0.13804713804713806,10772.750841750842,5.946127946127946,0.0,25.1,34.5,51.7,1011.5,0.0,2.9,103.0,0,0,1,6.0,6.0,957.0
2026,Australian Grand Prix,R,GAS,10,Alpine,1,1.0,MEDIUM,1.0,9.0,1,97.98,,,False,191.83013698630137,324.0,72.99223706452953,59.54246575342466,41.12112207511541,0.23013698630136986,10823.85205479452,4.178082191780822,0.0,24.0,38.0,54.0,1012.9,0.0,3.4,129.0,0,0,1,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,2,1.0,MEDIUM,2.0,9.0,1,87.281,,,False,214.25903614457832,334.0,68.13554384474992,64.51204819277109,42.19702570406561,0.17771084337349397,10946.801204819278,4.801204819277109,0.0,24.2,36.0,54.4,1012.8,0.0,2.3,135.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,3,1.0,MEDIUM,3.0,9.0,1,86.371,,,False,220.359756097561,333.0,72.40950376022967,66.60975609756098,41.685440985485535,0.27134146341463417,10927.015243902439,5.027439024390244,0.0,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,4,1.0,MEDIUM,4.0,9.0,1,85.894,,,False,219.6341463414634,327.0,70.90084598903013,71.17378048780488,39.47465003581587,0.2865853658536585,10997.743902439024,4.996951219512195,0.0,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,5,1.0,MEDIUM,5.0,9.0,1,87.04,,,True,225.31736526946108,334.0,71.25781890149958,73.2185628742515,39.36908761694039,0.3502994011976048,10923.476047904192,5.206586826347305,0.0,24.1,36.1,54.1,1012.9,0.0,1.6,112.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,6,1.0,MEDIUM,6.0,9.0,1,85.989,,,False,216.18098159509202,331.0,71.25206225541048,67.23926380368098,41.04808952448571,0.2116564417177914,11000.273006134968,4.895705521472393,0.0,24.2,35.3,54.3,1012.6,0.0,2.7,114.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,7,1.0,MEDIUM,7.0,9.0,1,85.079,,,False,218.94136807817588,330.0,69.45306744275024,67.2214983713355,42.037212666016984,0.20195439739413681,10983.42671009772,4.964169381107492,0.0,24.2,35.1,54.7,1012.6,0.0,3.4,99.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,8,1.0,MEDIUM,8.0,9.0,1,84.964,,,False,217.13861386138615,332.0,69.72434319399393,67.56435643564356,41.148193455694205,0.28052805280528054,10844.656765676567,4.927392739273928,0.0,24.3,35.8,54.6,1012.5,0.0,2.0,121.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,9,1.0,MEDIUM,9.0,9.0,1,85.441,,,False,215.0,334.0,70.30317942338766,65.68,41.19738395146522,0.24307692307692308,10866.252307692308,4.929230769230769,0.0,24.4,38.1,53.7,1012.6,0.0,3.1,121.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,10,1.0,MEDIUM,10.0,10.0,1,86.669,,,False,217.94303797468353,327.0,73.05251372061157,69.00316455696202,39.99083215713889,0.2120253164556962,10706.5,5.012658227848101,0.0,24.4,37.6,53.1,1012.5,0.0,2.4,122.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,11,1.0,MEDIUM,11.0,12.0,16,104.821,,0 days 01:18:21.012000,False,184.5968992248062,329.0,97.40082130228822,58.723514211886304,42.229493169085075,0.31266149870801035,9862.328165374676,4.387596899224806,0.0,24.4,36.6,53.1,1012.4,0.0,2.7,128.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,12,2.0,HARD,1.0,11.0,6,118.072,0 days 01:18:39.918000,,False,159.7981651376147,279.0,46.97703617364577,42.772935779816514,34.175696165153354,0.20412844036697247,9948.348623853211,3.555045871559633,0.0,24.4,36.4,53.3,1012.5,0.0,2.2,113.0,1,0,1,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,13,2.0,HARD,2.0,11.0,671,111.634,,,False,169.65727699530515,274.0,52.241114357119926,49.15727699530517,38.294415579400074,0.2323943661971831,10143.105633802817,3.7629107981220655,0.0,24.5,36.5,53.5,1012.4,0.0,2.0,128.0,1,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,14,2.0,HARD,3.0,11.0,1,85.748,,,False,219.93290734824282,324.0,63.775035080610145,69.29712460063898,40.62379652703181,0.1853035143769968,10858.162939297124,5.073482428115016,0.0,24.4,36.6,52.4,1012.4,0.0,3.8,95.0,1,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,15,2.0,HARD,4.0,11.0,1,84.823,,,False,222.85538461538462,327.0,69.50579963093858,69.39076923076924,41.61965393347546,0.23692307692307693,10929.387692307693,5.132307692307692,0.0,24.3,37.3,53.7,1012.3,0.0,2.0,125.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,16,2.0,HARD,5.0,11.0,1,84.69,,,False,225.77955271565494,326.0,69.9389337376786,72.59744408945687,39.61745268879547,0.21405750798722045,10886.23642172524,5.252396166134186,0.0,24.3,38.4,53.9,1012.3,0.0,3.5,140.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,17,2.0,HARD,6.0,11.0,1,85.203,,,False,216.2941176470588,331.0,70.93981585457631,66.7156862745098,40.642877492113655,0.18627450980392157,10845.64705882353,4.9640522875816995,0.0,24.5,39.1,53.5,1012.3,0.0,3.0,119.0,0,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,18,2.0,HARD,7.0,11.0,126,101.225,,,False,184.1716621253406,327.0,62.95605600036029,53.43051771117166,42.714325485061934,0.25885558583106266,10383.694822888283,4.144414168937329,0.0,24.6,36.7,52.5,1012.3,0.0,4.1,138.0,1,0,1,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,19,2.0,HARD,8.0,10.0,671,112.95,,,False,167.58194774346794,300.0,51.415127077424785,44.24940617577197,35.177333487818544,0.2375296912114014,10124.61757719715,3.7197149643705463,0.0,24.7,35.9,53.0,1012.3,0.0,2.9,142.0,1,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,20,2.0,HARD,9.0,11.0,1,86.578,,,False,215.05810397553518,332.0,69.68491523362852,64.49847094801223,41.4994918009934,0.1712538226299694,10772.281345565749,4.9327217125382266,0.0,24.7,35.9,53.3,1012.1,0.0,1.9,133.0,1,0,0,14.0,14.0,1983.0
2026,Australian Grand Prix,R,GAS,10,Alpine,21,2.0,HARD,10.0,10.0,1,85.678,,,False,222.17665615141956,321.0,67.67481131301105,66.6845425867508,42.070557605934916,0.2302839116719243,10879.255520504732,5.107255520504732,0.0,24.6,35.7,53.3,1012.1,0.0,3.8,119.0,0,0,0,14.0,14.0,1983.0
